Text_ID,Dialogue_ID,Language,Text_Type,Sequence,Text_Content,Voice_Path,Note
T_Kyle_L5_001_R2_KO,D_Kyle_L5_001,KO,Result,1,"호감도 +30, 특별 엔딩 조건",,

# 리안 - 레벨 3 이벤트 1: 첫 만남 (13세)
T_Lian_L3_001_001_KO,D_Lian_L3_001,KO,Dialogue,1,"어... 너도... 보이는구나?",Voice/Lian/L3_001_001.wav,
T_Lian_L3_001_002_KO,D_Lian_L3_001,KO,Dialogue,2,"아, 미안해! 갑자기 이상한 소리를 해서...",Voice/Lian/L3_001_002.wav,
T_Lian_L3_001_003_KO,D_Lian_L3_001,KO,Dialogue,3,"하지만 정말이야. 너는... 평범한 사람이 아니지?",Voice/Lian/L3_001_003.wav,
T_Lian_L3_001_004_KO,D_Lian_L3_001,KO,Dialogue,4,"나는 리안이야. 그리고 너는... 레몬 냄새가 나는구나.",Voice/Lian/L3_001_004.wav,
T_Lian_L3_001_001_EN,D_Lian_L3_001,EN,Dialogue,1,"Oh... you can... see me too?",Voice/Lian/L3_001_001_en.wav,
T_Lian_L3_001_002_EN,D_Lian_L3_001,EN,Dialogue,2,"Sorry! That must have sounded weird...",Voice/Lian/L3_001_002_en.wav,
T_Lian_L3_001_003_EN,D_Lian_L3_001,EN,Dialogue,3,"But it's true. You're... not an ordinary person, are you?",Voice/Lian/L3_001_003_en.wav,
T_Lian_L3_001_004_EN,D_Lian_L3_001,EN,Dialogue,4,"I'm Lian. And you... smell like lemons.",Voice/Lian/L3_001_004_en.wav,
T_Lian_L3_001_C1_KO,D_Lian_L3_001,KO,Choice,1,"너는 누구야?",,선택지 1
T_Lian_L3_001_C2_KO,D_Lian_L3_001,KO,Choice,1,"나를 볼 수 있는 거야?",,선택지 2
T_Lian_L3_001_C1_EN,D_Lian_L3_001,EN,Choice,1,"Who are you?",,
T_Lian_L3_001_C2_EN,D_Lian_L3_001,EN,Choice,1,"You can see me?",,
T_Lian_L3_001_R1_KO,D_Lian_L3_001,KO,Result,1,"호감도 +5 (시작 50에서), 스트레스 +5",,
T_Lian_L3_001_R2_KO,D_Lian_L3_001,KO,Result,1,"호감도 +10 (시작 50에서)",,

# 리안 - 레벨 5 이벤트 1: 두 세계의 연결자
T_Lian_L5_001_001_KO,D_Lian_L5_001,KO,Dialogue,1,"루아, 네가 18세가 되면 선택해야겠지...",Voice/Lian/L5_001_001.wav,
T_Lian_L5_001_002_KO,D_Lian_L5_001,KO,Dialogue,2,"여왕이 될 것인지, 다른 길을 갈 것인지...",Voice/Lian/L5_001_002.wav,
T_Lian_L5_001_003_KO,D_Lian_L5_001,KO,Dialogue,3,"하지만 기억해. 어떤 선택을 하든... 나는 네 편이야.",Voice/Lian/L5_001_003.wav,
T_Lian_L5_001_004_KO,D_Lian_L5_001,KO,Dialogue,4,"인간 세계와 디저트 왕국의 다리가 되어줄게.",Voice/Lian/L5_001_004.wav,
T_Lian_L5_001_C1_KO,D_Lian_L5_001,KO,Choice,1,"리안이 있어서 다행이야",,
T_Lian_L5_001_C2_KO,D_Lian_L5_001,KO,Choice,1,"우리가 함께 새로운 시대를 만들자",,
T_Lian_L5_001_R1_KO,D_Lian_L5_001,KO,Result,1,"호감도 +20",,
T_Lian_L5_001_R2_KO,D_Lian_L5_001,KO,Result,1,"호감도 +25, 히든 엔딩 조건",,
